year,fips,month,temp
1895,01,Jan,43.1
1896,01,Jan,43.5
1897,01,Jan,41.8
1898,01,Jan,49
1899,01,Jan,43.8
1900,01,Jan,43.6
1901,01,Jan,46
1902,01,Jan,43.2
1903,01,Jan,43.4
1904,01,Jan,41.1
1905,01,Jan,38.6
1906,01,Jan,46.2
1907,01,Jan,53.6
1908,01,Jan,43.4
1909,01,Jan,49.6
1910,01,Jan,45.3
1911,01,Jan,49.9
1912,01,Jan,40.2
1913,01,Jan,51.2
1914,01,Jan,47
1915,01,Jan,42.5
1916,01,Jan,51.8
1917,01,Jan,49.7
1918,01,Jan,37.4
1919,01,Jan,44
1920,01,Jan,46.9
1921,01,Jan,49.3
1922,01,Jan,46.4
1923,01,Jan,50.9
1924,01,Jan,40.6
1925,01,Jan,47.1
1926,01,Jan,43.8
1927,01,Jan,47.8
1928,01,Jan,44
1929,01,Jan,48.1
1930,01,Jan,44.8
1931,01,Jan,43.7
1932,01,Jan,51.9
1933,01,Jan,51.4
1934,01,Jan,48.3
1935,01,Jan,46.7
1936,01,Jan,43.1
1937,01,Jan,57
1938,01,Jan,46.2
1939,01,Jan,48.8
1940,01,Jan,32.1
1941,01,Jan,46.2
1942,01,Jan,42.5
1943,01,Jan,47.7
1944,01,Jan,45.2
1945,01,Jan,44.8
1946,01,Jan,46.5
1947,01,Jan,49.3
1948,01,Jan,38.5
1949,01,Jan,52.7
1950,01,Jan,58.9
1951,01,Jan,46.8
1952,01,Jan,52.4
1953,01,Jan,49
1954,01,Jan,46.9
1955,01,Jan,44
1956,01,Jan,42.2
1957,01,Jan,48.4
1958,01,Jan,39.7
1959,01,Jan,43.1
1960,01,Jan,44.5
1961,01,Jan,39.2
1962,01,Jan,42.6
1963,01,Jan,39.1
1964,01,Jan,42.4
1965,01,Jan,46.5
1966,01,Jan,40
1967,01,Jan,45.4
1968,01,Jan,42.3
1969,01,Jan,43.3
1970,01,Jan,38
1971,01,Jan,45
1972,01,Jan,49.1
1973,01,Jan,43.2
1974,01,Jan,55
1975,01,Jan,49
1976,01,Jan,40.6
1977,01,Jan,33.3
1978,01,Jan,35.6
1979,01,Jan,37.8
1980,01,Jan,46.7
1981,01,Jan,39.5
1982,01,Jan,42.9
1983,01,Jan,42.1
1984,01,Jan,40.3
1985,01,Jan,37.2
1986,01,Jan,43.1
1987,01,Jan,43
1988,01,Jan,40.7
1989,01,Jan,50.6
1990,01,Jan,49.8
1991,01,Jan,45.8
1992,01,Jan,44.1
1993,01,Jan,48.8
1994,01,Jan,40.8
1995,01,Jan,45.4
1996,01,Jan,43.5
1997,01,Jan,45.9
1998,01,Jan,47.8
1999,01,Jan,49.4
2000,01,Jan,46.5
2001,01,Jan,41.2
2002,01,Jan,46.8
2003,01,Jan,40
2004,01,Jan,44.2
2005,01,Jan,49.2
2006,01,Jan,51.1
2007,01,Jan,46.7
2008,01,Jan,43
2009,01,Jan,45.3
2010,01,Jan,40
2011,01,Jan,41.1
2012,01,Jan,50.1
2013,01,Jan,50
2014,01,Jan,37.3
2015,01,Jan,43.6
2016,01,Jan,43
2017,01,Jan,52.4
2018,01,Jan,40.4
2019,01,Jan,46.5
2020,01,Jan,49.5
1895,04,Jan,40.4
1896,04,Jan,44.6
1897,04,Jan,41.2
1898,04,Jan,35.1
1899,04,Jan,38
1900,04,Jan,45.5
1901,04,Jan,41.5
1902,04,Jan,41.9
1903,04,Jan,41.4
1904,04,Jan,37.7
1905,04,Jan,43.1
1906,04,Jan,39
1907,04,Jan,42.2
1908,04,Jan,42.9
1909,04,Jan,45.4
1910,04,Jan,40.4
1911,04,Jan,45.3
1912,04,Jan,41.4
1913,04,Jan,35.7
1914,04,Jan,43.8
1915,04,Jan,38.3
1916,04,Jan,40.2
1917,04,Jan,36.8
1918,04,Jan,38.8
1919,04,Jan,35.7
1920,04,Jan,41.4
1921,04,Jan,41.8
1922,04,Jan,37.6
1923,04,Jan,44.4
1924,04,Jan,37.8
1925,04,Jan,36.7
1926,04,Jan,38.2
1927,04,Jan,44.1
1928,04,Jan,41.8
1929,04,Jan,38.5
1930,04,Jan,38.3
1931,04,Jan,39.5
1932,04,Jan,34.3
1933,04,Jan,35.3
1934,04,Jan,42.3
1935,04,Jan,42.2
1936,04,Jan,41.1
1937,04,Jan,28.4
1938,04,Jan,43.2
1939,04,Jan,40.5
1940,04,Jan,42.8
1941,04,Jan,42.1
1942,04,Jan,41.1
1943,04,Jan,42.2
1944,04,Jan,39
1945,04,Jan,40.7
1946,04,Jan,38.8
1947,04,Jan,38
1948,04,Jan,41.2
1949,04,Jan,31.9
1950,04,Jan,39.5
1951,04,Jan,40.6
1952,04,Jan,40.4
1953,04,Jan,45.2
1954,04,Jan,42.3
1955,04,Jan,37
1956,04,Jan,45.6
1957,04,Jan,42.6
1958,04,Jan,41.4
1959,04,Jan,43.2
1960,04,Jan,36.1
1961,04,Jan,42.1
1962,04,Jan,38.8
1963,04,Jan,37.3
1964,04,Jan,37.4
1965,04,Jan,43.3
