id,year,percent,majortopic,Congress
1,1946,,1,79
2,1947,0.347958,1,80
3,1948,0.221154,1,80
4,1949,0.288126,1,81
5,1950,0.233645,1,81
6,1951,0.228571,1,82
7,1952,0.214286,1,82
8,1953,,1,83
9,1954,0.333333,1,83
10,1955,,1,84
11,1956,0.153005,1,84
12,1957,0.214514,1,85
13,1958,0.223665,1,85
14,1959,0.225399,1,86
15,1960,0.126343,1,86
16,1961,0.178629,1,87
17,1962,0.162725,1,87
18,1963,0.122066,1,88
19,1964,0.0897436,1,88
20,1965,0.063281,1,89
21,1966,0.153348,1,89
22,1967,0.108434,1,90
23,1968,0.0738494,1,90
24,1969,0.0694444,1,91
25,1970,0.117851,1,91
26,1971,0.280778,1,92
27,1972,0.241135,1,92
28,1973,0.386482,1,93
29,1974,0.563478,1,93
30,1975,0.596859,1,94
31,1976,0.555344,1,94
32,1977,0.453159,1,95
33,1978,0.599662,1,95
34,1979,0.507661,1,96
35,1980,0.563124,1,96
36,1981,0.69208,1,97
37,1982,0.787798,1,97
38,1983,0.612119,1,98
39,1984,0.527975,1,98
40,1985,0.448276,1,99
41,1986,0.374468,1,99
42,1987,0.313726,1,100
43,1988,0.33,1,100
44,1989,0.234375,1,101
45,1990,0.322539,1,101
46,1991,0.401276,1,102
47,1992,0.505342,1,102
48,1993,0.460902,1,103
49,1994,0.224404,1,103
50,1995,0.297101,1,104
51,1996,0.316416,1,104
52,1997,0.212364,1,105
53,1998,0.168942,1,105
54,1999,0.114541,1,106
55,2000,0.13814,1,106
56,2001,0.219932,1,107
57,2002,0.251848,1,107
58,2003,0.335164,1,108
59,2004,0.276278,1,108
60,2005,0.192051,1,109
61,2006,0.151111,1,109
62,2007,0.13587,1,110
63,2008,0.397258,1,110
64,2009,0.526982,1,111
65,2010,0.480118,1,111
66,2011,0.532516,1,112
67,2012,0.518317,1,112
68,2013,0.43593601,1,113
69,2014,0.33802654,1,113
70,2015,0.248503698,1,114
71,2016,0.262686263,1,114
72,2017,0.162685985,1,115
73,1946,,2,79
74,1947,0.00605144,2,80
75,1948,0.0224359,2,80
76,1949,0.0540236,2,81
77,1950,0.140187,2,81
78,1951,0.0285714,2,82
79,1952,0.0892857,2,82
80,1953,,2,83
81,1954,0.166667,2,83
82,1955,,2,84
83,1956,0.151366,2,84
84,1957,0.165869,2,85
85,1958,0.114329,2,85
86,1959,0.0681245,2,86
87,1960,0.0718785,2,86
88,1961,0.0561252,2,87
89,1962,0.0810811,2,87
90,1963,0.488263,2,88
91,1964,0.423611,2,88
92,1965,0.278649,2,89
93,1966,0.205184,2,89
94,1967,0.138554,2,90
95,1968,0.224402,2,90
96,1969,0.282407,2,91
97,1970,0.282496,2,91
98,1971,0.151188,2,92
99,1972,0.114894,2,92
100,1973,0.0970537,2,93
101,1974,0.0347826,2,93
102,1975,0.0680628,2,94
103,1976,0.0496183,2,94
104,1977,0.0631808,2,95
105,1978,0.0506757,2,95
106,1979,0.0512097,2,96
107,1980,0.0478353,2,96
108,1981,0.0458919,2,97
109,1982,0.0291777,2,97
110,1983,0.0442282,2,98
111,1984,0.0400454,2,98
112,1985,0.0344828,2,99
113,1986,0.0297872,2,99
114,1987,0.0470588,2,100
115,1988,0,2,100
116,1989,0.0435606,2,101
117,1990,0.0362694,2,101
118,1991,0.0347927,2,102
119,1992,0.0491453,2,102
120,1993,0.0441582,2,103
121,1994,0.0412106,2,103
122,1995,0.057971,2,104
123,1996,0.0761301,2,104
124,1997,0.0870063,2,105
125,1998,0.0682594,2,105
126,1999,0.018684,2,106
127,2000,0.0310853,2,106
128,2001,0.0256144,2,107
129,2002,0.0132345,2,107
130,2003,0.0110451,2,108
131,2004,0.0159493,2,108
132,2005,0.0160447,2,109
133,2006,0.0148325,2,109
134,2007,0.0116222,2,110
135,2008,0.012589,2,110
136,2009,0.014191,2,111
137,2010,0.011379,2,111
138,2011,0.014538,2,112
139,2012,0.01485,2,112
140,2013,0.011613448,2,113
141,2014,0.030023312,2,113
142,2015,0.053109255,2,114
143,2016,0.06434268,2,114
144,2017,0.058357229,2,115
145,1946,,3,79
146,1947,0,3,80
147,1948,0,3,80
148,1949,0.00168824,3,81
149,1950,0.00233645,3,81
150,1951,0,3,82
151,1952,0,3,82
152,1953,,3,83
153,1954,0,3,83
154,1955,,3,84
155,1956,0,3,84
156,1957,0.00318979,3,85
157,1958,0,3,85
158,1959,0,3,86
159,1960,0,3,86
160,1961,0,3,87
161,1962,0,3,87
162,1963,0,3,88
163,1964,0,3,88
164,1965,0,3,89
165,1966,0,3,89
166,1967,0,3,90
167,1968,0.000356761,3,90
168,1969,0.00462963,3,91
169,1970,0.0121317,3,91
170,1971,0,3,92
171,1972,0,3,92
172,1973,0.0034662,3,93
173,1974,0,3,93
174,1975,0,3,94
175,1976,0.0114504,3,94
176,1977,0.00653595,3,95
177,1978,0.00168919,3,95
178,1979,0.00282258,3,96
179,1980,0.00121102,3,96
180,1981,0,3,97
181,1982,0,3,97
182,1983,0,3,98
183,1984,0.0056802,3,98
184,1985,0.0316092,3,99
185,1986,0.0340426,3,99
186,1987,0.118768,3,100
187,1988,0,3,100
188,1989,0.346591,3,101
189,1990,0.194948,3,101
190,1991,0.117715,3,102
191,1992,0.0603632,3,102
192,1993,0.165593,3,103
193,1994,0.171603,3,103
194,1995,0.0640097,3,104
195,1996,0.0563045,3,104
196,1997,0.0646823,3,105
197,1998,0.0827645,3,105
198,1999,0.0698619,3,106
199,2000,0.0965133,3,106
200,2001,0.0564077,3,107
201,2002,0.0424261,3,107
202,2003,0.06124,3,108
203,2004,0.0778418,3,108
204,2005,0.0608832,3,109
205,2006,0.0568857,3,109
206,2007,0.0813977,3,110
207,2008,0.054918,3,110
208,2009,0.106596,3,111
209,2010,0.086434,3,111
210,2011,0.053268,3,112
211,2012,0.050035,3,112
212,2013,0.079355254,3,113
213,2014,0.081899423,3,113
214,2015,0.047629944,3,114
215,2016,0.046596189,3,114
216,2017,0.084011755,3,115
217,1946,,4,79
218,1947,0.0363086,4,80
219,1948,0,4,80
220,1949,0.000562746,4,81
221,1950,0.00934579,4,81
222,1951,0,4,82
223,1952,0.00223214,4,82
224,1953,,4,83
225,1954,0,4,83
226,1955,,4,84
227,1956,0.0546448,4,84
228,1957,0.0223285,4,85
229,1958,0.00798802,4,85
230,1959,0.00336417,4,86
231,1960,0.0150056,4,86
232,1961,0.00701565,4,87
233,1962,0.0112613,4,87
234,1963,0.00234742,4,88
