State Name,Year,"Compensation required for or economic assessment required before regulatory taking (stricter than federal standard)? (=2 if both, =1 if one of the two, =0 if neither, multiplied by 0.5 if applies to state government only, not localities)","State Wetland Restoration Program (=1 if yes, =0 if no)","Wetland Regulatory Protection Statutes, Stricter than Federal (=1 if statewide, =0.5 if local/coastal, =0 if none)","Endangered Species Regulations (=0 if no act or statute, =1 if act or statute, but only in regard to animals, =2 if act or statute in regard to both animals and plants)","Guidelines for a State Development Plan (=0 if none, =1 if yes but no land-use element, =2 if yes and include land-use element)","Strength of State Planning Role (=1 if weak, =2 if significant, =3 if substantial)",State Mandated Local Plans (=1 if yes),Internal Consistency (=1 if state imposes requirement that zoning be based upon and consistent with the legally adopted comprehensive plan),"Vertical Consistency (=0 if none, =1 if state merely assists localities, =2 if state imposes requirement that the local comprehensive plan of a city or county not conflict with plans of higher levels of government within the state)","Horizontal Consistency (=0 if none required, =1 if state merely assists localities, =2 if state requires intergovernmental coordination among neighboring jurisdictions)","Gasoline tax rate per gallon in dollars, including sales, excise, storage, and franchise taxes","Consumer Price Index, All Items, Annual",fgastax1*201.6 [2006 value]/tcpi,"Active cap on greenhouse gas emissions from electric power producers? (1=yes, 0=no) (note: setting a goal or initiating a process doesn't count - only actual regulations in force)",Wharton Residential Land Use Regulatory Index,"Local rent control laws exist? (1=yes, 0=no)","Mandated free speech on private property? (3=malls, universities, & neighborhood associations, 2=malls & neighborhood associations or malls & universities, 1=malls or universities, 0.5=some government connection required/signature gathering only, 0=none)","state cost of living, index year 2007","state implicit price deflator, index year 2008",state price parities,"enacted eminent domain reform through legislation or initiative, or court decision putting strict limits on ""public use"" (=1 if yes, 0 if no, including judicial action)","private property (=1 if prohibits private property taking for any private use, regardless of alleged public benefit, =0.5 if prohibits only some private-to-private transfers, =0 if no effective restrictions on this type of eminent domain use)","blight (=1 if implemented stricter definition either explicitly or implicitly, =0.5 if retained vague definition but required higher standard of proof, =0 if otherwise)","Constitution enshrines all additional restrictions on eminent domain (=1 if yes,=0 if no, =0.5 if only some restrictions on ED have been codified constitutionally)",Eminent domain reform index ((freform+fprivate+fblight)*(1+(0.5*fconst))),"Mandatory renewable portfolio standard for electric utilities: if yes, minimum percentage of retail sales for which required; if no, zero (halved if applies only to investor-owned utilities, or averaged among standards for all types of utilities; scored ""1"" and then adjusted in year of enactment)","Renewable portfolio standard exceptions (1.5=large or existing hydropower excluded, 0.5=natural gas, coal gasification, or nuclear included, 1=otherwise, phase-ins linearly interpolated)",Renewable portfolio standard index (frenew*frpsexc),"State appellate decisions containing phrase ""land use,"" cumulative from 1/1/1920",Population estimate,Court land use decisions index: flandum/apop*1000000,"Cook Partisan Voter Index by State (+D, used for imputing land-use regulation, linearly interpolated between elections)",Accommodation GDP divided by all GDP in *previous* year (for imputation of land-use regulation),Effective number of competing jurisdictions per 100 sq mi,Model-derived extension of fwrluri (based on regression results of fwrluri on various predictors),"Law bans employers from banning guns on certain company property, such as parking lots? (1=yes, 0=no)"
State,Year,Frtp,Fswp,Fwtldrps,Fesasap,Fgfsp,Fsspr,Fsmlp,Fic,Fvc,Fhc,fgastax1,ccpi,fgastax,fcap,fwrluri,frent,fspeech,fcpi,fipd,fpp,freform,fprivate,fblight,fconst,findex,frenew,frpsexc,frps,flandum,apop,flandu,fpvi,faccom,acjarea,fwrlurim,fguns
Alabama,2000,0,,0,,,,,,,,0.16,172.2,0.187317073,0,,0,0,72.90778,,,0,0,0,0,0,0,1,0,99,4452173,22.23633269,-8,0.004020565,0.750160326,-0.7361045,0
Alaska,2000,0,,0,,,,,,,,0.08,172.2,0.093658537,0,,0,0,81.89808,,,0,0,0,0,0,0,1,0,84,627963,133.7658429,-15,0.009524837,0.048805782,-1.238579,0
Arizona,2000,0,,0,,,,,,,,0.18,172.2,0.210731707,0,,0,0,76.7833,,,0,0,0,0,0,0,1,0,106,5160586,20.54030298,-4,0.013212457,0.091473791,0.4813921,0
Arkansas,2000,0,,0,,,,,,,,0.195,172.2,0.228292683,0,,0,0,71.82155,,,1,0.5,0,1,2.25,0,1,0,84,2678588,31.35980599,3.5,0.004879079,0.701322271,-0.5071355,0
California,2000,0,,0,,,,,,,,0.18,172.2,0.210731707,0,,1,1,84.91972,,,0,0,0,0,0,0,1,0,1128,33987977,33.18820652,4,0.007455767,0.310840655,0.142273,0
Colorado,2000,0,,0,,,,,,,,0.22,172.2,0.257560976,0,,0,0.5,82.68846,,,0,0,0,0,0,0,1,0,215,4326921,49.68891274,-4,0.010577168,0.295994551,0.2209738,0
Connecticut,2000,0,,1,,,,,,,,0.32,172.2,0.374634146,0,,0,0,95.9685,,,0,0,0,0,0,6.25,1,6.25,293,3411777,85.87900088,5,0.004190365,3.634408602,0.1428105,0
Delaware,2000,1,,0,,,,,,,,0.23,172.2,0.269268293,0,,0,0,80.37725,,,0,0,0,0,0,0,1,0,27,786373,34.33485127,4,0.003742439,1.760904685,0.5062272,0
Florida,2000,2,,1,,,,,,,,0.04,172.2,0.046829268,0,,0,0,74.49422,,,1,0.5,0,1,2.25,0,1,0,538,16047515,33.52543992,-2,0.015524253,0.49197087,0.4666649,0
Georgia,2000,0,,0,,,,,,,,0.075,172.2,0.087804878,0,,0,0,75.64425,,,0,0,0,0,0,0,1,0,188,8227303,22.85074465,-5,0.007028699,0.601974172,-0.0071013,0
Hawaii,2000,0,,0,,,,,,,,0.16,172.2,0.187317073,0,,0,0,93.70882,,,0,0,0,0,0,0,1,0,142,1213519,117.0150612,8,0.055818552,0.070909413,1.685181,0
Idaho,2000,1,,0,,,,,,,,0.25,172.2,0.292682927,0,,0,0,76.39175,,,0,0,0,0,0,0,1,0,95,1299430,73.10897855,-16,0.008040078,0.265432507,-0.5668159,0
Illinois,2000,0,,0,,,,,,,,0.19,172.2,0.222439024,0,,0,0,85.17592,,,0,0,0,0,0,0,1,0,546,12434161,43.91128601,5,0.005824802,1.832430332,-0.1333219,0
