Variable Name,Variable Code,Source1 Name,Data Location/Table Source1,Website (if applicable) Source1,Access Date Source1,Source2 Name,Data Location/Table Source2,Website (if applicable) Source2,Access Date Source2,Source3 Name,Data Location/Table Source3,Website (if applicable) Source3,Access Date Source3,Source4 Name,Data Location/Table Source4,Website (if applicable) Source4,Access Date Source4,Source5 Name,Data Location/Table Source5,Website (if applicable) Source5,Access Date Source5,Source6 Name,Data Location/Table Source6,Website (if applicable) Source6,Access Date Source6,Source7 Name,Data Location/Table Source7,Website (if applicable) Source7,Access Date Source7,Source8 Name,Data Location/Table Source8,Website (if applicable) Source8,Access Date Source8
"Compensation required for or economic assessment required before regulatory taking (stricter than federal standard)? (=2 if both, =1 if one of the two, =0 if neither, multiplied by 0.5 if applies to state government only, not localities)",Frtp,"John D. Echevarria and Thekla Hansen-Young (2008), ""The Track Record on Takings Legislation: The Results from Florida and Oregon,"" Planning and Environmental Law 60 (11).",,http://scholarship.law.georgetown.edu/cgi/viewcontent.cgi?article=1000&context=gelpi_papers,8/6/2012,Political Research Associates,Regulatory Takings and Private Property Rights,http://www.publiceye.org/eyes/privprop.html,1/19/2010,"Kirk Emerson and Charles R. Wise (1997), ""Statutory Approaches to Regulatory Takings: State Property Rights Legislation Issues and Implications for Public Administration,"" Public Administration Review 57 (5): 411-422.",p. 421,.,.,"Bill Peacock, ""Property Rights in Texas: Heading in the Right Direction""",,http://www.texaspolicy.com/pdf/2011-10-PP18-PropertyRightsinTexasHeadinginRightDirection-CEF-BillPeacock.pdf,6/28/2012,Statutes & cases,,,,,,,,,,,,,,,
State Wetland Restoration Program (=1 if yes),Fswp,Association of State Wetland Managers,State Wetland Programs,http://aswm.org/swp/statemainpage9.htm,1/19/2010,ELI Study of State Wetlands Programs,.,http://www.eli.org/Program_Areas/state_wetlands.cfm,1/19/2010,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,
"Wetland Regulatory Protection Statutes, Stricter than Federal (=1 if statewide, =0.5 if local/coastal, =0 if none)",Fwtldrps,Association of State Wetland Managers,State Wetland Programs - links to descriptions of state regulatory frameworks,http://aswm.org/swp/statemainpage9.htm,1/19/2010,ELI Study of State Wetlands Programs,.,http://www.eli.org/Program_Areas/state_wetlands.cfm,1/19/2010,California Wetlands,.,http://www.californiawetlands.net/tracker/,13-Feb-12,Association of State Wetland Managers,State Wetland Program Summaries,http://aswm.org/state-summaries,12/30/2014,,,,,,,,,,,,,,,,
"Endangered Species Act Statutes Animals Plants (=0 if no act or statute, =1 if act or statute, but only in regard to animals, =2 if act or statute in regard to both animals and plants)",Fesasap,Animallaw.info,Map of State Endangered Species Laws,http://www.animallaw.info/articles/armpstateesa.htm,1/20/2010,Animal Legal and Historical Center,Map of Endangered Species Laws,http://www.animallaw.info/articles/armpstateesa.htm,1/22/2012,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,
"Guidelines for a State Development Plan (=0 if none, =1 if yes but no land-use element, =2 if yes and include land-use element)",Fgfsp,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,General State Planning Legislation(through December 2009),http://www.disastersafety.org/content/data/file/statutes2009.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
"Strength of State Planning Role (=1 if weak, =2 if significant, =3 if substantial)",Fsspr,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,General State Planning Legislation(through December 2009),http://www.disastersafety.org/content/data/file/statutes2009.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
State Mandated Local Plans (=1 if yes),Fsmlp,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,General State Planning Legislation(through December 2009),http://www.disastersafety.org/content/data/file/statutes2009.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
Internal Consistency (=1 if state imposes requirement that zoning be based upon and consistent with the legally adopted comprehensive plan),Fic,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,Maps from the Summary of State Land Use Planning Laws,http://www.disastersafety.org/content/data/file/maps.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
"Vertical Consistency (=0 if none, =1 if state merely assists localities, =2 if state imposes requirement that the local comprehensive plan of a city or county not conflict with plans of higher levels of government within the state)",Fvc,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,Maps from the Summary of State Land Use Planning Laws,http://www.disastersafety.org/content/data/file/maps.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
"Horizontal Consistency (=0 if none required, =1 if state merely assists localities, =2 if state requires intergovernmental coordination among neighboring jurisdictions)",Fhc,Institute for Business and Home Safety,General State Planning Legislation,http://www.disastersafety.org/resource/resmgr/pdfs/statutes2008.pdf,1/19/2010,www.disastersafety.org,Maps from the Summary of State Land Use Planning Laws,http://www.disastersafety.org/content/data/file/maps.pdf,1/22/2012,Institute for Business and Home Safety,2002 Summary of State Statutes,http://web.archive.org/web/20030627115733/http://www.disastersafety.org/research_library/downloads/StatuteSpreadsheet.pdf,8/6/2012,,,,,,,,,,,,,,,,,,,,
